# profanity.txt — common profane words and phrases for content moderation
# Format: label | phrase
# Labels: profanity | sexual
#
# Coverage: common words that appear in media ratings, content filters,
# and academic linguistics. Designed for content moderation use cases.
# Includes single words and common short phrases.
#
# NOTE: Verify native language entries with a native speaker before
# production use. Languages marked [VERIFY] are best-effort.
#
# Lines starting with # <lang> indicate language sections (informational only).

# ── English ───────────────────────────────────────────────────────────────────
# en

profanity | fuck
profanity | fucking
profanity | fucked
profanity | fucker
profanity | motherfucker
profanity | motherfucking
profanity | shit
profanity | shitting
profanity | shitty
profanity | bullshit
profanity | horseshit
profanity | ass
profanity | asshole
profanity | bastard
profanity | bitch
profanity | bitching
profanity | son of a bitch
profanity | damn
profanity | goddamn
profanity | hell
profanity | what the hell
profanity | crap
profanity | bloody hell
profanity | bollocks
profanity | bugger
profanity | piss
profanity | pissed off
profanity | cunt
profanity | dick
profanity | prick
profanity | wanker
profanity | tosser
profanity | jackass
profanity | dumbass
profanity | smartass
profanity | kiss my ass
profanity | go to hell
profanity | screw you
profanity | shut the fuck up
profanity | what the fuck
profanity | for fuck's sake
profanity | piece of shit
sexual | porn
sexual | pornography
sexual | sex tape
sexual | nude
sexual | naked photo
sexual | explicit content
sexual | adult content
sexual | blowjob
sexual | handjob
sexual | masturbate
sexual | masturbation

# ── French ────────────────────────────────────────────────────────────────────
# fr

profanity | merde
profanity | putain
profanity | putain de merde
profanity | bordel
profanity | bordel de merde
profanity | connard
profanity | connasse
profanity | salaud
profanity | salope
profanity | enculé
profanity | ta gueule
profanity | va te faire foutre
profanity | fils de pute
profanity | foutre
profanity | allez vous faire foutre
profanity | sacré bleu
profanity | batard
profanity | casse-toi
profanity | niquer
profanity | nique ta mère
sexual | porno
sexual | contenu explicite
sexual | contenu adulte

# ── Spanish ───────────────────────────────────────────────────────────────────
# es

profanity | mierda
profanity | joder
profanity | hostia
profanity | coño
profanity | puta
profanity | hijo de puta
profanity | puto
profanity | cabrón
profanity | gilipollas
profanity | imbécil
profanity | vete a la mierda
profanity | me cago en todo
profanity | qué coño
profanity | maricón
profanity | capullo
profanity | pendejo
profanity | chinga tu madre
profanity | chingado
profanity | güey
profanity | pinche
profanity | cabron
profanity | me vale madre
sexual | porno
sexual | contenido explícito
sexual | contenido para adultos

# ── Portuguese ────────────────────────────────────────────────────────────────
# pt

profanity | merda
profanity | porra
profanity | caralho
profanity | filho da puta
profanity | vai se foder
profanity | foda-se
profanity | puta que pariu
profanity | seu idiota
profanity | idiota
profanity | desgraçado
profanity | puta merda
profanity | que merda
profanity | bosta
profanity | fodase
profanity | babaca
profanity | viado
profanity | vai tomar no cu
sexual | pornografia
sexual | conteúdo explícito
sexual | conteúdo adulto

# ── German ────────────────────────────────────────────────────────────────────
# de

profanity | scheiße
profanity | scheiß
profanity | scheiß drauf
profanity | fick dich
profanity | verpiss dich
profanity | arschloch
profanity | arsch
profanity | wichser
profanity | hurensohn
profanity | mist
profanity | verdammt
profanity | verdammt nochmal
profanity | zum teufel
profanity | gottverdammt
profanity | scheiße nochmal
profanity | halt die klappe
profanity | dummkopf
profanity | idiot
profanity | vollidiot
profanity | depp
profanity | schwein
sexual | pornografie
sexual | explizite inhalte
sexual | erwachseneninhalt

# ── Italian ───────────────────────────────────────────────────────────────────
# it

profanity | cazzo
profanity | vaffanculo
profanity | stronzo
profanity | bastardo
profanity | figlio di puttana
profanity | merda
profanity | porco dio
profanity | porco cane
profanity | che cazzo
profanity | minchia
profanity | mannaggia
profanity | fanculo
profanity | testa di cazzo
profanity | figlio di troia
profanity | pezzo di merda
profanity | va fanculo
sexual | porno
sexual | contenuto esplicito
sexual | contenuto per adulti

# ── Dutch ─────────────────────────────────────────────────────────────────────
# nl

profanity | godverdomme
profanity | godverdomme nog aan toe
profanity | kut
profanity | kanker
profanity | klootzak
profanity | lul
profanity | eikel
profanity | schijt
profanity | fokking
profanity | rotzooi
profanity | sodemieter op
profanity | donder op
profanity | hou je kop
profanity | ga naar de hel
sexual | porno
sexual | expliciete inhoud
sexual | volwassen inhoud

# ── Russian ───────────────────────────────────────────────────────────────────
# ru

profanity | блядь
profanity | ёбаный
profanity | пиздец
profanity | хуй
profanity | хуйня
profanity | сука
profanity | мудак
profanity | иди нахуй
profanity | пошёл нахуй
profanity | залупа
profanity | ёб твою мать
profanity | твою мать
profanity | чёрт
profanity | блин
profanity | чёрт возьми
profanity | идиот
profanity | дурак
sexual | порно
sexual | откровенный контент
sexual | контент для взрослых

# ── Polish ────────────────────────────────────────────────────────────────────
# pl

profanity | kurwa
profanity | kurwa mać
profanity | pierdolić
profanity | pierdol się
profanity | jebać
profanity | chuj
profanity | chuj ci w dupę
profanity | dupek
profanity | skurwysyn
profanity | skurwiel
profanity | spierdolić
profanity | spierdalaj
profanity | gówno
profanity | do cholery
profanity | do diabła
profanity | do kurwy nędzy
sexual | porno
sexual | treści dla dorosłych
sexual | treści explict

# ── Ukrainian ─────────────────────────────────────────────────────────────────
# uk

profanity | бля
profanity | їбаний
profanity | пизда
profanity | хуй
profanity | сука
profanity | мудак
profanity | іди нахуй
profanity | йобаний
profanity | чорт
profanity | дурень
sexual | порно
sexual | контент для дорослих

# ── Arabic ────────────────────────────────────────────────────────────────────
# ar [VERIFY]

profanity | يلعن
profanity | يلعن دينك
profanity | ابن الشرموطة
profanity | كس أمك
profanity | عرص
profanity | حمار
profanity | زبالة
profanity | اخرس
profanity | روح اللعب
profanity | لعنة
sexual | إباحية
sexual | محتوى بالغ
sexual | محتوى صريح

# ── Persian/Farsi ─────────────────────────────────────────────────────────────
# fa [VERIFY]

profanity | لعنتی
profanity | گه
profanity | کثیف
profanity | خفه شو
profanity | برو گم شو
profanity | احمق
profanity | کودن
sexual | پورنو
sexual | محتوای بزرگسال

# ── Turkish ───────────────────────────────────────────────────────────────────
# tr [VERIFY]

profanity | amk
profanity | orospu çocuğu
profanity | siktir
profanity | siktir git
profanity | bok
profanity | boktan
profanity | lanet olsun
profanity | kahretsin
profanity | aptal
profanity | salak
profanity | gerizekalı
sexual | porno
sexual | yetişkin içerik
sexual | müstehcen içerik

# ── Hindi ─────────────────────────────────────────────────────────────────────
# hi — Devanagari

profanity | मादरचोद
profanity | भड़वा
profanity | चुतिया
profanity | साला
profanity | कमीना
profanity | हरामी
profanity | हरामजादा
profanity | बकवास
profanity | बेशर्म
profanity | बेवकूफ
profanity | गधा
profanity | सुअर
sexual | अश्लील
sexual | पोर्न
sexual | अश्लील सामग्री

# hi — Roman/Hinglish (STT output)

profanity | madarchod
profanity | bhadwa
profanity | chutiya
profanity | saala
profanity | kameena
