# ref_phrases.txt — reference finder phrases for phrasefinder
# All languages flattened into one file.
# Format: label | phrase
# Lines starting with # are comments.


# ── ar ────────────────────────────────────────────────
book | كتاب بعنوان
book | كتاب يسمى
book | رواية بعنوان
book | رواية تسمى
book | سيرة ذاتية بعنوان
book | نشر كتاباً بعنوان
book | أصدر كتاباً بعنوان
book | في كتابه بعنوان
book | مؤلف كتاب
paper | ورقة بحثية بعنوان
paper | دراسة بعنوان
paper | دراسة حديثة
paper | نشر ورقة بحثية بعنوان
paper | نشر دراسة بعنوان
paper | الدراسة أظهرت أن
paper | على arxiv
paper | منشور على arxiv
movie | فيلم يسمى
movie | فيلم بعنوان
movie | فيلم وثائقي بعنوان
movie | فيلم وثائقي عن
movie | من إخراج
movie | بطولة
tv | مسلسل بعنوان
tv | مسلسل يسمى
tv | برنامج بعنوان
tv | من إنتاج
song | أغنية بعنوان
song | أغنية تسمى
song | ألبوم بعنوان
song | أصدر ألبوماً بعنوان
song | أصدر أغنية بعنوان
podcast | بودكاست بعنوان
podcast | بودكاست يسمى
podcast | قيل في البودكاست
podcast | بودكاست يقدمه
map | خريطة
map | أرني خريطة
map | الحدود بين
map | عاصمة

# ── bn ────────────────────────────────────────────────
book | নামের একটি বই
book | শিরোনামের একটি বই
book | নামের একটি উপন্যাস
book | একটি বই প্রকাশ করেছেন
book | বইটির লেখক
book | namer ekti boi
book | namer ekti upanyas
book | boi prokash korechen
book | boi er lekhok
paper | নামের একটি গবেষণাপত্র
paper | গবেষণায় দেখা গেছে যে
paper | arxiv এ প্রকাশিত
paper | namer ekti gobeshonapat
paper | gobeshonay dekha gache je
paper | arxiv e prokashit
movie | নামের একটি চলচ্চিত্র
movie | নামের একটি তথ্যচিত্র
movie | পরিচালক হলেন
movie | namer ekti chalachitra
movie | porichalok holen
tv | নামের একটি সিরিজ
tv | নামের একটি ধারাবাহিক
tv | namer ekti series
song | নামের একটি গান
song | নামের একটি অ্যালবাম
song | namer ekti gaan
song | namer ekti album
podcast | নামের একটি পডকাস্ট
podcast | পডকাস্টে বলেছেন
podcast | namer ekti podcast
podcast | podcast e bolechen
map | এর মানচিত্র
map | মানচিত্র দেখাও
map | এর রাজধানী
map | er manchitra
map | er rajdhani

# ── de ────────────────────────────────────────────────
book | ein buch namens
book | ein buch mit dem titel
book | ein buch von
book | ein roman namens
book | ein roman mit dem titel
book | ein roman von
book | eine biografie über
book | eine biografie mit dem titel
book | memoiren mit dem titel
book | hat ein buch veröffentlicht namens
book | hat ein buch veröffentlicht mit dem titel
book | in seinem buch namens
book | in ihrem buch namens
book | der autor von
paper | ein artikel namens
paper | ein artikel mit dem titel
paper | ein artikel über
paper | eine studie namens
paper | eine studie über
paper | eine neue studie
paper | eine aktuelle studie
paper | ein forschungsartikel mit dem titel
paper | hat einen artikel veröffentlicht mit dem titel
paper | hat eine studie veröffentlicht über
paper | in einem veröffentlichten artikel
paper | die studie ergab dass
paper | der artikel argumentiert dass
paper | auf arxiv
paper | auf arxiv veröffentlicht
paper | ein preprint mit dem titel
movie | ein film namens
movie | ein film mit dem titel
movie | ein film von
movie | ein dokumentarfilm namens
movie | ein dokumentarfilm über
movie | regie geführt von
movie | hat einen film veröffentlicht namens
movie | ein kurzfilm namens
movie | ein biopic über
tv | eine serie namens
tv | eine serie mit dem titel
tv | eine serie von
tv | eine sendung namens
tv | eine miniserie namens
tv | eine fernsehserie namens
tv | eine dokuserie über
song | ein lied namens
song | ein lied mit dem titel
song | ein lied von
song | ein album namens
song | ein album mit dem titel
song | ein album von
song | eine single namens
song | hat ein album veröffentlicht namens
song | hat einen song veröffentlicht namens
podcast | ein podcast namens
podcast | ein podcast mit dem titel
podcast | ein podcast von
podcast | ein podcast moderiert von
podcast | im podcast gesagt
podcast | im podcast besprochen
map | eine karte von
map | zeig mir eine karte von
map | die geografie von
map | die grenze zwischen
map | die hauptstadt von
movie | ein neuer film namens
movie | ein neuer film mit dem titel

# ── dravidian ─────────────────────────────────────────
book | என்ற ஒரு புத்தகம்
book | என்ற பெயரிலான புத்தகம்
book | என்ற ஒரு நாவல்
book | புத்தகம் வெளியிட்டார்
book | புத்தகத்தின் ஆசிரியர்
book | endra oru puttakam
book | peyarilana puttakam
book | puttakattin aasiriyar
paper | என்ற ஒரு ஆய்வுக் கட்டுரை
paper | ஆய்வில் கண்டறியப்பட்டது
paper | arxiv இல் வெளியிடப்பட்டது
paper | endra oru aayvuk katturai
paper | aayvil kandariayappattadu
movie | என்ற ஒரு திரைப்படம்
movie | என்ற ஒரு தொகுப்பு
movie | இயக்குனர்
movie | endra oru thiraippadam
movie | iyakkunar
tv | என்ற ஒரு தொடர்
movie | என்ற ஒரு நிகழ்ச்சி
tv | endra oru thodar
song | என்ற ஒரு பாடல்
song | என்ற ஒரு ஆல்பம்
song | endra oru paadal
song | endra oru aalbam
podcast | என்ற ஒரு பாட்காஸ்ட்
podcast | பாட்காஸ்டில் கூறினார்
podcast | endra oru podcast
map | இன் வரைபடம்
map | வரைபடம் காட்டு
map | இன் தலைநகரம்
map | in varaippadam
map | in thalainagaraam
book | అనే ఒక పుస్తకం
book | అనే పేరు గల పుస్తకం
book | అనే ఒక నవల
book | పుస్తకం ప్రచురించారు
book | పుస్తకం యొక్క రచయిత
book | ane oka pustakam
book | pustakam yokka rachayita
